ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
0,0,7,408.276,409.283,1,1.18E+10,409.183,411.388,99.0657,99.1578,#FF0000,0.1,-339.146
1,0,14,418.258,419.265,1,1.77E+10,419.165,421.371,99.2908,99.4825,#FF0000,0.1,-339.146
2,0,3,5608.91,1403.24,4,1.56E+08,1403.14,1405.59,98.488,98.5062,#FF0000,0.1,54.6557
2,0,11,5608.91,1122.79,5,2.88E+09,1122.69,1124.69,98.4687,98.5265,#FF0000,0.1,54.6557
2,0,16,5608.91,935.826,6,6.15E+09,935.726,937.429,98.4298,98.5448,#FF0000,0.1,54.6557
2,0,16,5608.91,802.28,7,1.10E+10,802.18,803.669,98.4388,98.5448,#FF0000,0.1,54.6557
2,0,12,5608.91,702.121,8,3.29E+09,702.021,703.349,98.4298,98.5665,#FF0000,0.1,54.6557
3,0,9,1182.77,592.393,2,5.58E+08,592.293,593.997,9.91483,10.0148,#FF0000,0.1,54.4282
3,0,16,1182.77,395.264,3,7.76E+09,395.164,396.367,9.893,10.132,#FF0000,0.1,54.4282
3,0,10,1182.77,296.7,4,2.09E+09,296.6,297.552,9.91483,10.0488,#FF0000,0.1,54.4282
3,0,1,1182.77,237.561,5,4.86E+06,237.461,238.263,9.927,9.927,#FF0000,0.1,54.4282
4,0,13,459.306,460.313,1,8.08E+09,460.213,462.419,99.3677,99.5348,#FF0000,0.1,-339.146
5,0,13,5956.12,1192.23,5,4.06E+08,1192.13,1194.14,96.8572,97.1037,#FF0000,0.1,52.3918
5,0,24,5956.12,993.694,6,1.79E+09,993.594,995.298,96.741,97.1657,#FF0000,0.1,52.3918
5,0,31,5956.12,851.882,7,4.60E+09,851.782,853.271,96.741,97.4877,#FF0000,0.1,52.3918
5,0,28,5956.12,745.522,8,3.69E+09,745.422,746.75,96.741,97.4877,#FF0000,0.1,52.3918
5,0,19,5956.12,662.799,9,9.10E+08,662.699,663.901,96.7888,97.1657,#FF0000,0.1,52.3918
6,0,1,5631.93,1408.99,4,5.25E+07,1408.89,1411.35,98.4198,98.4198,#FF0000,0.1,54.05
6,0,7,5631.93,1127.39,5,1.19E+09,1127.29,1129.3,98.3965,98.4298,#FF0000,0.1,54.05
6,0,9,5631.93,939.662,6,2.54E+09,939.562,941.266,98.3815,98.4388,#FF0000,0.1,54.05
6,0,11,5631.93,805.569,7,4.62E+09,805.469,806.958,98.3662,98.4487,#FF0000,0.1,54.05
6,0,7,5631.93,704.999,8,3.65E+09,704.899,706.226,98.3662,98.4388,#FF0000,0.1,54.05
6,0,4,5631.93,626.777,9,5.60E+08,626.677,627.88,98.3965,98.4298,#FF0000,0.1,54.05
7,0,27,514.348,515.356,1,1.25E+10,515.256,517.461,99.4738,99.6278,#FF0000,0.1,-339.146
8,0,12,3669.03,1224.02,3,3.56E+08,1223.92,1226.46,85.8192,86.0768,#FF0000,0.1,54.5829
8,0,32,3669.03,918.265,4,5.38E+09,918.165,920.119,85.704,86.2845,#FF0000,0.1,54.5829
8,0,41,3669.03,734.813,5,2.07E+10,734.713,736.317,85.3618,86.6383,#FF0000,0.1,54.5829
8,0,35,3669.03,612.512,6,9.42E+09,612.412,613.782,85.6817,86.2845,#FF0000,0.1,54.5829
8,0,31,3669.03,525.154,7,2.02E+09,525.054,526.257,85.704,86.2523,#FF0000,0.1,54.5829
8,0,4,3669.03,459.636,8,5.92E+07,459.536,460.613,85.894,86.1483,#FF0000,0.1,54.5829
9,0,3,9220.41,1537.74,6,3.85E+07,1537.81,1540.01,56.8563,56.8563,#FF0000,0.1,56.2981
9,0,225,9220.41,1318.21,7,7.39E+09,1318.25,1320.17,54.5283,60.285,#FF0000,0.1,56.2981
9,0,253,9220.41,1153.56,8,1.50E+10,1153.58,1155.29,54.5283,60.64,#FF0000,0.1,56.2981
9,0,272,9220.41,1025.5,9,2.85E+10,1025.51,1027.05,54.5283,63.478,#FF0000,0.1,56.2981
9,0,289,9220.41,923.048,10,5.40E+10,923.049,924.452,54.5035,63.5755,#FF0000,0.1,56.2981
