mass,ion,formula
60.0444,S,C2 H6 N1 O1
86.0964,L,C5 H12 N1
101.0709,a2,C4 H9 N2 O1
129.0659,b2,C5 H9 N2 O2
131.1179,y1,C6 H15 N2 O1
136.0757,Y,C8 H10 N1 O1
188.1394,y2,C8 H18 N3 O2
214.155,a3,C10 H20 N3 O2
242.1499,b3,C11 H20 N3 O3
351.2027,y3,C17 H27 N4 O4
377.2183,a4,C19 H29 N4 O4
405.2132,b4,C20 H29 N4 O5
420.2241,y4-H2O,C20 H30 N5 O5
438.2347,y4,C20 H32 N5 O6
464.2504,a5,C22 H34 N5 O6
474.2347,b5-H2O,C23 H32 N5 O6
492.2453,b5,C23 H34 N5 O7
583.2875,y5-H2O,C29 H39 N6 O7
601.298,y5,C29 H41 N6 O8
627.3137,a6,C31 H43 N6 O8
637.298,b6-H2O,C32 H41 N6 O8
655.3086,b6,C32 H43 N6 O9
684.3352,a7,C33 H46 N7 O9
694.3195,b7-H2O,C34 H44 N7 O9
696.3715,y6-H2O,C35 H50 N7 O8
712.3301,b7,C34 H46 N7 O10
714.3821,y6,C35 H52 N7 O9
753.393,y7-H2O,C37 H53 N8 O9
771.4036,y7,C37 H55 N8 O10
824.4301,MH-H2O,C40 H58 N9 O10
842.4407,MH,C40 H60 N9 O11
,,
,,
