mass,ion,formula
60.0444,S,C2 H6 N1 O1
70.0651,P,C4 H8 N1
86.0964,L,C5 H12 N1
101.0709,a2,C4 H9 N2 O1
120.0808,F,C8 H10 N1
126.055,P,C6 H8 N1 O2
129.0659,b2,C5 H9 N2 O2
131.1179,y1,C6 H15 N2 O1
136.0757,Y,C8 H10 N1 O1
188.1394,y2,C8 H18 N3 O2
198.1237,a3,C9 H16 N3 O2
226.1186,b3,C10 H16 N3 O3
335.2078,y3,C17 H27 N4 O3
361.187,a4,C18 H25 N4 O4
389.1819,b4,C19 H25 N4 O5
404.2292,y4-H2O,C20 H30 N5 O4
422.2398,y4,C20 H32 N5 O5
448.2191,a5,C21 H30 N5 O6
458.2034,b5-H2O,C22 H28 N5 O6
476.214,b5,C22 H30 N5 O7
567.2926,y5-H2O,C29 H39 N6 O6
585.3031,y5,C29 H41 N6 O7
595.2875,a6,C30 H39 N6 O7
605.2718,b6-H2O,C31 H37 N6 O7
623.2824,b6,C31 H39 N6 O8
652.3089,a7,C32 H42 N7 O8
662.2933,b7-H2O,C33 H40 N7 O8
664.3453,y6-H2O,C34 H46 N7 O7
680.3039,b7,C33 H42 N7 O9
682.3559,y6,C34 H48 N7 O8
721.3668,y7-H2O,C36 H49 N8 O8
739.3774,y7,C36 H51 N8 O9
792.4039,MH-H2O,C39 H54 N9 O9
810.4145,MH,C39 H56 N9 O10
,,
,,
