mass,ion,formula,,,
60.0444,S,C2 H6 N1 O1,,,
84.0444,Q,C4 H6 N1 O1,,,
84.0808,K,C5 H10 N1,,,
87.0553,N,C3 H7 N2 O1,,,
101.0709,a2,C4 H9 N2 O1,,,
101.0709,Q,C4 H9 N2 O1,,,
101.1073,K,C5 H13 N2,,,
120.0808,F,C8 H10 N1,,,
126.0913,K,C7 H12 N1 O1,,,
129.0659,Q,C5 H9 N2 O2,,,
129.0659,b2,C5 H9 N2 O2,,,
129.1022,K,C6 H13 N2 O1,,,
159.0917,W,C10 H11 N2,,,
204.1131,y1,C11 H14 N3 O1,,,
273.1346,y2-H2O,C14 H17 N4 O2,,,
287.1503,a3,C15 H19 N4 O2,,,
291.1452,y2,C14 H19 N4 O3,,,
315.1452,b3,C16 H19 N4 O3,,,
330.1561,y3-H2O,C16 H20 N5 O3,,,
348.1666,y3,C16 H22 N5 O4,,,
384.1666,a4-NH3,C19 H22 N5 O4,,,
401.1932,a4,C19 H25 N6 O4,,,
412.1615,b4-NH3,C20 H22 N5 O5,,,
429.1881,b4,C20 H25 N6 O5,,,
458.2146,y4-H2O,C21 H28 N7 O5,,,
459.1987,y4-NH3,C21 H27 N6 O6,,,
476.2252,y4,C21 H30 N7 O6,,,
512.2616,a5-NH3,C25 H34 N7 O5,,,
529.2881,a5,C25 H37 N8 O5,,,
540.2565,b5-NH3,C26 H34 N7 O6,,,
557.2831,b5,C26 H37 N8 O6,,,
605.2831,y5-H2O,C30 H37 N8 O6,,,
606.2671,y5-NH3,C30 H36 N7 O7,,,
623.2936,y5,C30 H39 N8 O7,,,
659.33,a6-NH3,C34 H43 N8 O6,,,
676.3566,a6,C34 H46 N9 O6,,,
687.3249,b6-NH3,C35 H43 N8 O7,,,
704.3515,b6,C35 H46 N9 O7,,,
733.378,y6-H2O,C36 H49 N10 O7,,,
734.362,y6-NH3,C36 H48 N9 O8,,,
751.3886,y6,C36 H51 N10 O8,,,
787.3886,a7-NH3,C39 H51 N10 O8,,,
804.4151,a7,C39 H54 N11 O8,,,
815.3835,b7-NH3,C40 H51 N10 O9,,,
832.41,b7,C40 H54 N11 O9,,,
844.41,a8-NH3,C41 H54 N11 O9,,,
847.4209,y7-H2O,C40 H55 N12 O9,,,
848.405,y7-NH3,C40 H54 N11 O10,,,
861.4366,a8,C41 H57 N12 O9,,,
865.4315,y7,C40 H57 N12 O10,,,
872.405,b8-NH3,C42 H54 N11 O10,,,
889.4315,b8,C42 H57 N12 O10,,,
907.4421,b8+H2O,C42 H59 N12 O11,,,
931.4421,a9-NH3,C44 H59 N12 O11,,,
948.4686,a9,C44 H62 N13 O11,,,
958.453,b9-H2O,C45 H60 N13 O11,,,
959.437,b9-NH3,C45 H59 N12 O12,,,
976.4635,b9,C45 H62 N13 O12,,,
994.4741,b9+H2O,C45 H64 N13 O13,,,
1033.5003,y8-H2O,C51 H65 N14 O10,,,
1034.4843,y8-NH3,C51 H64 N13 O11,,,
1051.5108,y8,C51 H67 N14 O11,,,
1090.5217,y9-H2O,C53 H68 N15 O11,,,
1091.5057,y9-NH3,C53 H67 N14 O12,,,
1108.5323,y9,C53 H70 N15 O12,,,
1161.5588,MH-H2O,C56 H73 N16 O12,,,
1162.5429,MH-NH3,C56 H72 N15 O13,,,
1179.5694,MH,C56 H75 N16 O13,,,
