Precursor actual m/z,Precursor actual charge
1403.24,4
1122.79,5
935.826,6
802.28,7
702.121,8
592.393,2
395.264,3
296.7,4
237.561,5
1192.23,5
993.694,6
851.882,7
745.522,8
662.799,9
1408.99,4
1127.39,5
939.662,6
805.569,7
704.999,8
626.777,9
1224.02,3
918.265,4
734.813,5
612.512,6
525.154,7
459.636,8
1537.74,6
1318.21,7
1153.56,8
1025.5,9
923.048,10
839.227,11
769.375,12
710.27,13
659.608,14
615.701,15
577.283,16
543.384,17
1427.61,6
1223.81,7
1070.96,8
952.077,9
856.97,10
779.155,11
714.31,12
659.44,13
1094.14,9
984.828,10
895.39,11
820.858,12
757.792,13
703.736,14
656.888,15
615.895,16
627.911,2
418.943,3
314.459,4
1408.61,6
1207.52,7
1056.71,8
939.406,9
845.566,10
768.788,11
704.806,12
650.668,13
1408.44,7
1232.51,8
1095.68,9
986.21,10
896.647,11
822.01,12
758.856,13
704.724,14
1268.92,8
1128.04,9
1015.33,10
923.123,11
846.28,12
781.259,13
725.527,14
677.225,15
634.962,16
1252.59,2
835.398,3
1243.4,4
994.922,5
829.27,6
710.946,7
622.204,8
844.48,1
422.744,2
282.165,3
1388.98,4
1111.39,5
926.322,6
794.135,7
694.994,8
1374.72,4
1099.98,5
916.819,6
785.989,7
687.866,8
1324.63,2
883.425,3
662.821,4
928.524,2
619.352,3
1205.01,3
904.009,4
723.409,5
603.009,6
517.009,7
452.508,8
1330.63,6
1140.69,7
998.226,8
887.424,9
798.783,10
726.258,11
665.82,12
906.527,3
680.147,4
544.319,5
453.767,6
389.087,7
1394.74,4
1115.99,5
930.159,6
797.423,7
697.871,8
620.442,9
924.193,4
739.556,5
616.464,6
528.542,7
1411.04,7
1234.78,8
1097.7,9
988.027,10
898.298,11
823.524,12
760.253,13
706.021,14
659.02,15
1606.15,8
1427.8,9
1285.12,10
1168.38,11
1071.1,12
988.786,13
918.231,14
857.082,15
803.578,16
756.368,17
714.403,18
676.856,19
643.064,20
1317.63,2
878.753,3
1514.29,7
1325.13,8
1178.0,9
1060.31,10
964.005,11
883.755,12
815.852,13
757.649,14
707.206,15
1506.89,6
1291.76,7
1130.42,8
1004.93,9
904.537,10
822.398,11
753.949,12
696.03,13
646.386,14
603.36,15
1407.55,6
1206.62,7
1055.92,8
938.705,9
844.935,10
768.215,11
704.281,12
650.183,13
510.78,2
340.855,3
791.706,3
594.031,4
1331.68,3
999.014,4
799.413,5
666.345,6
571.297,7
971.985,2
648.326,3
486.496,4
1521.88,6
1304.61,7
1141.66,8
1014.92,9
1318.45,4
1054.96,5
879.3,6
753.83,7
659.727,8
1467.31,2
978.542,3
734.158,4
1371.21,6
1175.47,7
1028.66,8
914.475,9
823.128,10
748.39,11
