mass,ion,formula
60.0444,S,C2 H6 N1 O1
86.0964,L,C5 H12 N1
101.0709,a2,C4 H9 N2 O1
120.0808,F,C8 H10 N1
129.0659,b2,C5 H9 N2 O2
131.1179,y1,C6 H15 N2 O1
136.0757,Y,C8 H10 N1 O1
158.0924,a3,C6 H12 N3 O2
186.0873,b3,C7 H12 N3 O3
188.1394,y2,C8 H18 N3 O2
229.1295,a4,C9 H17 N4 O3
257.1244,b4,C10 H17 N4 O4
335.2078,y3,C17 H27 N4 O3
392.1928,a5,C18 H26 N5 O5
404.2292,y4-H2O,C20 H30 N5 O4
420.1878,b5,C19 H26 N5 O6
422.2398,y4,C20 H32 N5 O5
479.2249,a6,C21 H31 N6 O7
489.2092,b6-H2O,C22 H29 N6 O7
507.2198,b6,C22 H31 N6 O8
567.2926,y5-H2O,C29 H39 N6 O6
585.3031,y5,C29 H41 N6 O7
626.2933,a7,C30 H40 N7 O8
636.2776,b7-H2O,C31 H38 N7 O8
638.3297,y6-H2O,C32 H44 N7 O7
654.2882,b7,C31 H40 N7 O9
656.3402,y6,C32 H46 N7 O8
683.3148,a8,C32 H43 N8 O9
693.2991,b8-H2O,C33 H41 N8 O9
695.3511,y7-H2O,C34 H47 N8 O8
711.3097,b8,C33 H43 N8 O10
713.3617,y7,C34 H49 N8 O9
752.3726,y8-H2O,C36 H50 N9 O9
770.3832,y8,C36 H52 N9 O10
823.4097,MH-H2O,C39 H55 N10 O10
841.4203,MH,C39 H57 N10 O11
