mass,ion,formula
60.0444,S,C2 H6 N1 O1
70.0651,P,C4 H8 N1
86.0964,L,C5 H12 N1
115.0866,a2,C5 H11 N2 O1
120.0808,F,C8 H10 N1
126.055,P,C6 H8 N1 O2
131.1179,y1,C6 H15 N2 O1
136.0757,Y,C8 H10 N1 O1
143.0815,b2,C6 H11 N2 O2
188.1394,y2,C8 H18 N3 O2
202.1186,a3,C8 H16 N3 O3
212.103,b3-H2O,C9 H14 N3 O3
230.1135,b3,C9 H16 N3 O4
299.1714,a4,C13 H23 N4 O4
309.1557,b4-H2O,C14 H21 N4 O4
327.1663,b4,C14 H23 N4 O5
335.2078,y3,C17 H27 N4 O3
404.2292,y4-H2O,C20 H30 N5 O4
422.2398,y4,C20 H32 N5 O5
462.2347,a5,C22 H32 N5 O6
472.2191,b5-H2O,C23 H30 N5 O6
490.2296,b5,C23 H32 N5 O7
549.2667,a6,C25 H37 N6 O8
559.2511,b6-H2O,C26 H35 N6 O8
567.2926,y5-H2O,C29 H39 N6 O6
577.2617,b6,C26 H37 N6 O9
585.3031,y5,C29 H41 N6 O7
664.3453,y6-H2O,C34 H46 N7 O7
682.3559,y6,C34 H48 N7 O8
696.3352,a7,C34 H46 N7 O9
706.3195,b7-H2O,C35 H44 N7 O9
724.3301,b7,C35 H46 N7 O10
751.3774,y7-H2O,C37 H51 N8 O9
753.3566,a8,C36 H49 N8 O10
763.341,b8-H2O,C37 H47 N8 O10
769.3879,y7,C37 H53 N8 O10
781.3515,b8,C37 H49 N8 O11
822.4145,y8-H2O,C40 H56 N9 O10
840.425,y8,C40 H58 N9 O11
893.4516,MH-H2O,C43 H61 N10 O11
911.4621,MH,C43 H63 N10 O12
,,
