mass,ion,formula,,,
60.0444,S,C2 H6 N1 O1,,,
70.0651,R,C4 H8 N1,,,
87.0917,R,C4 H11 N2,,,
100.0869,R,C4 H10 N3,,,
101.0709,a2,C4 H9 N2 O1,,,
104.0528,M,C4 H10 N1 S1,,,
112.0869,R,C5 H10 N3,,,
129.0659,b2,C5 H9 N2 O2,,,
159.0917,W,C10 H11 N2,,,
204.1131,y1,C11 H14 N3 O1,,,
275.1503,y2,C14 H19 N4 O2,,,
287.1503,a3,C15 H19 N4 O2,,,
315.1452,b3,C16 H19 N4 O3,,,
332.1717,y3,C16 H22 N5 O3,,,
374.1823,a4,C18 H24 N5 O4,,,
384.1666,b4-H2O,C19 H22 N5 O4,,,
402.1772,b4,C19 H24 N5 O5,,,
461.2143,a5,C21 H29 N6 O6,,,
471.1987,b5-H2O,C22 H27 N6 O6,,,
471.2463,y4-NH3,C22 H31 N8 O4,,,
488.2728,y4,C22 H34 N9 O4,,,
489.2092,b5,C22 H29 N6 O7,,,
608.2497,a6,C26 H38 N7 O8 S1,,,
618.2341,b6-H2O,C27 H36 N7 O8 S1,,,
618.2817,y5-NH3,C27 H40 N9 O6 S1,,,
635.3082,y5,C27 H43 N10 O6 S1,,,
636.2446,b6,C27 H38 N7 O9 S1,,,
704.3297,y6-H2O,C30 H46 N11 O7 S1,,,
705.3137,y6-NH3,C30 H45 N10 O8 S1,,,
722.3403,y6,C30 H48 N11 O8 S1,,,
747.3243,a7-NH3,C32 H47 N10 O9 S1,,,
764.3508,a7,C32 H50 N11 O9 S1,,,
774.3352,b7-H2O,C33 H48 N11 O9 S1,,,
775.3192,b7-NH3,C33 H47 N10 O10 S1,,,
791.3617,y7-H2O,C33 H51 N12 O9 S1,,,
792.3457,b7,C33 H50 N11 O10 S1,,,
792.3457,y7-NH3,C33 H50 N11 O10 S1,,,
804.3457,a8-NH3,C34 H50 N11 O10 S1,,,
809.3723,y7,C33 H53 N12 O10 S1,,,
821.3723,a8,C34 H53 N12 O10 S1,,,
831.3566,b8-H2O,C35 H51 N12 O10 S1,,,
832.3406,b8-NH3,C35 H50 N11 O11 S1,,,
849.3672,b8,C35 H53 N12 O11 S1,,,
867.3778,b8+H2O,C35 H55 N12 O12 S1,,,
875.3828,a9-NH3,C37 H55 N12 O11 S1,,,
892.4094,a9,C37 H58 N13 O11 S1,,,
902.3937,b9-H2O,C38 H56 N13 O11 S1,,,
903.3778,b9-NH3,C38 H55 N12 O12 S1,,,
920.4043,b9,C38 H58 N13 O12 S1,,,
938.4149,b9+H2O,C38 H60 N13 O13 S1,,,
977.441,y8-H2O,C44 H61 N14 O10 S1,,,
978.425,y8-NH3,C44 H60 N13 O11 S1,,,
995.4516,y8,C44 H63 N14 O11 S1,,,
1034.4625,y9-H2O,C46 H64 N15 O11 S1,,,
1035.4465,y9-NH3,C46 H63 N14 O12 S1,,,
1052.4731,y9,C46 H66 N15 O12 S1,,,
1105.4996,MH-H2O,C49 H69 N16 O12 S1,,,
1106.4836,MH-NH3,C49 H68 N15 O13 S1,,,
1123.5102,MH,C49 H71 N16 O13 S1,,,
