mass,ion,formula
60.0444,S,C2 H6 N1 O1
70.0651,P,C4 H8 N1
89.0709,y1,C3 H9 N2 O1
120.0808,F,C8 H10 N1
126.055,P,C6 H8 N1 O2
159.0917,W,C10 H11 N2
191.1179,a2,C11 H15 N2 O1
219.1128,b2,C12 H15 N2 O2
275.1503,y2,C14 H19 N4 O2
278.1499,a3,C14 H20 N3 O3
288.1343,b3-H2O,C15 H18 N3 O3
306.1448,b3,C15 H20 N3 O4
372.203,y3,C19 H26 N5 O3
375.2027,a4,C19 H27 N4 O4
385.187,b4-H2O,C20 H25 N4 O4
403.1976,b4,C20 H27 N4 O5
441.2245,y4-H2O,C22 H29 N6 O4
459.235,y4,C22 H31 N6 O5
561.282,a5,C30 H37 N6 O5
571.2663,b5-H2O,C31 H35 N6 O5
588.2929,y5-H2O,C31 H38 N7 O5
589.2769,b5,C31 H37 N6 O6
606.3035,y5,C31 H40 N7 O6
659.33,MH-H2O,C34 H43 N8 O6
677.3406,MH,C34 H45 N8 O7
,,
,,
