mass,ion,formula,,,
60.0444,S,C2 H6 N1 O1,,,
86.0964,L,C5 H12 N1,,,
87.0553,N,C3 H7 N2 O1,,,
88.0393,D,C3 H6 N1 O2,,,
102.055,E,C4 H8 N1 O2,,,
104.0528,M,C4 H10 N1 S1,,,
120.0808,F,C8 H10 N1,,,
131.1179,y1,C6 H15 N2 O1,,,
136.0757,Y,C8 H10 N1 O1,,,
159.0764,a2,C6 H11 N2 O3,,,
169.0608,b2-H2O,C7 H9 N2 O3,,,
187.0713,b2,C7 H11 N2 O4,,,
188.1394,y2,C8 H18 N3 O2,,,
246.1084,a3,C9 H16 N3 O5,,,
256.0928,b3-H2O,C10 H14 N3 O5,,,
274.1034,b3,C10 H16 N3 O6,,,
319.1798,y3,C13 H27 N4 O3 S1,,,
409.1718,a4,C18 H25 N4 O7,,,
419.1561,b4-H2O,C19 H23 N4 O7,,,
430.2119,y4-H2O,C18 H32 N5 O5 S1,,,
437.1667,b4,C19 H25 N4 O8,,,
448.2224,y4,C18 H34 N5 O6 S1,,,
466.1932,a5,C20 H28 N5 O8,,,
476.1776,b5-H2O,C21 H26 N5 O8,,,
494.1882,b5,C21 H28 N5 O9,,,
543.2959,y5-H2O,C24 H43 N6 O6 S1,,,
561.3065,y5,C24 H45 N6 O7 S1,,,
579.2773,a6,C26 H39 N6 O9,,,
589.2617,b6-H2O,C27 H37 N6 O9,,,
607.2722,b6,C27 H39 N6 O10,,,
614.333,y6-H2O,C27 H48 N7 O7 S1,,,
632.3436,y6,C27 H50 N7 O8 S1,,,
650.3144,a7,C29 H44 N7 O10,,,
660.2988,b7-H2O,C30 H42 N7 O10,,,
678.3093,b7,C30 H44 N7 O11,,,
729.36,y7-H2O,C31 H53 N8 O10 S1,,,
747.3706,y7,C31 H55 N8 O11 S1,,,
786.3815,y8-H2O,C33 H56 N9 O11 S1,,,
797.3828,a8,C38 H53 N8 O11,,,
804.392,y8,C33 H58 N9 O12 S1,,,
807.3672,b8-H2O,C39 H51 N8 O11,,,
825.3777,b8,C39 H53 N8 O12,,,
843.4029,y9-H2O,C35 H59 N10 O12 S1,,,
854.4043,a9,C40 H56 N9 O12,,,
861.4135,y9,C35 H61 N10 O13 S1,,,
864.3886,b9-H2O,C41 H54 N9 O12,,,
882.3992,b9,C41 H56 N9 O13,,,
951.4207,a10-NH3,C44 H59 N10 O14,,,
957.4458,y10-H2O,C39 H65 N12 O14 S1,,,
958.4299,y10-NH3,C39 H64 N11 O15 S1,,,
968.4472,a10,C44 H62 N11 O14,,,
975.4564,y10,C39 H67 N12 O15 S1,,,
978.4316,b10-H2O,C45 H60 N11 O14,,,
979.4156,b10-NH3,C45 H59 N10 O15,,,
996.4421,b10,C45 H62 N11 O15,,,
1008.4421,a11-NH3,C46 H62 N11 O15,,,
1014.4673,y11-H2O,C41 H68 N13 O15 S1,,,
1015.4513,y11-NH3,C41 H67 N12 O16 S1,,,
1025.4687,a11,C46 H65 N12 O15,,,
1032.4779,y11,C41 H70 N13 O16 S1,,,
1035.453,b11-H2O,C47 H63 N12 O15,,,
1036.4371,b11-NH3,C47 H62 N11 O16,,,
1053.4636,b11,C47 H65 N12 O16,,,
1065.4636,a12-NH3,C48 H65 N12 O16,,,
1082.4901,a12,C48 H68 N13 O16,,,
1092.4745,b12-H2O,C49 H66 N13 O16,,,
1093.4585,b12-NH3,C49 H65 N12 O17,,,
1110.4851,b12,C49 H68 N13 O17,,,
1161.5357,y12-H2O,C50 H77 N14 O16 S1,,,
1162.5197,y12-NH3,C50 H76 N13 O17 S1,,,
1179.5463,y12,C50 H79 N14 O17 S1,,,
1180.4905,a13-NH3,C52 H70 N13 O19,,,
1197.5171,a13,C52 H73 N14 O19,,,
1207.5014,b13-H2O,C53 H71 N14 O19,,,
1208.4855,b13-NH3,C53 H70 N13 O20,,,
1225.512,b13,C53 H73 N14 O20,,,
1232.5728,y13-H2O,C53 H82 N15 O17 S1,,,
1233.5568,y13-NH3,C53 H81 N14 O18 S1,,,
1250.5834,y13,C53 H84 N15 O18 S1,,,
1251.5277,a14-NH3,C55 H75 N14 O20,,,
1268.5542,a14,C55 H78 N15 O20,,,
1278.5386,b14-H2O,C56 H76 N15 O20,,,
1279.5226,b14-NH3,C56 H75 N14 O21,,,
1296.5491,b14,C56 H78 N15 O21,,,
1345.6569,y14-H2O,C59 H93 N16 O18 S1,,,
1346.6409,y14-NH3,C59 H92 N15 O19 S1,,,
1363.6675,y14,C59 H95 N16 O19 S1,,,
1364.6117,a15-NH3,C61 H86 N15 O21,,,
1381.6383,a15,C61 H89 N16 O21,,,
1391.6226,b15-H2O,C62 H87 N16 O21,,,
1392.6066,b15-NH3,C62 H86 N15 O22,,,
1402.6784,y15-H2O,C61 H96 N17 O19 S1,,,
1403.6624,y15-NH3,C61 H95 N16 O20 S1,,,
1409.6332,b15,C62 H89 N16 O22,,,
