mass,ion,formula
60.0444,S,C2 H6 N1 O1
86.0964,L,C5 H12 N1
88.0393,D,C3 H6 N1 O2
120.0808,F,C8 H10 N1
131.1179,y1,C6 H15 N2 O1
136.0757,Y,C8 H10 N1 O1
159.0764,a2,C6 H11 N2 O3
169.0608,b2-H2O,C7 H9 N2 O3
187.0713,b2,C7 H11 N2 O4
188.1394,y2,C8 H18 N3 O2
272.1605,a3,C12 H22 N3 O4
282.1448,b3-H2O,C13 H20 N3 O4
300.1554,b3,C13 H22 N3 O5
335.2078,y3,C17 H27 N4 O3
404.2292,y4-H2O,C20 H30 N5 O4
422.2398,y4,C20 H32 N5 O5
435.2238,a4,C21 H31 N4 O6
445.2082,b4-H2O,C22 H29 N4 O6
463.2187,b4,C22 H31 N4 O7
522.2558,a5,C24 H36 N5 O8
532.2402,b5-H2O,C25 H34 N5 O8
550.2508,b5,C25 H36 N5 O9
567.2926,y5-H2O,C29 H39 N6 O6
585.3031,y5,C29 H41 N6 O7
669.3243,a6,C33 H45 N6 O9
679.3086,b6-H2O,C34 H43 N6 O9
680.3766,y6-H2O,C35 H50 N7 O7
697.3192,b6,C34 H45 N6 O10
698.3872,y6,C35 H52 N7 O8
726.3457,a7,C35 H48 N7 O10
736.3301,b7-H2O,C36 H46 N7 O10
754.3406,b7,C36 H48 N7 O11
795.4036,y7-H2O,C39 H55 N8 O10
813.4141,y7,C39 H57 N8 O11
866.4407,MH-H2O,C42 H60 N9 O11
884.4512,MH,C42 H62 N9 O12
