mass,ion,formula
60.0444,S,C2 H6 N1 O1
84.0444,Q,C4 H6 N1 O1
86.0964,L,C5 H12 N1
101.0709,Q,C4 H9 N2 O1
101.0709,a2,C4 H9 N2 O1
120.0808,F,C8 H10 N1
129.0659,Q,C5 H9 N2 O2
129.0659,b2,C5 H9 N2 O2
131.1179,y1,C6 H15 N2 O1
136.0757,Y,C8 H10 N1 O1
188.1394,y2,C8 H18 N3 O2
212.103,a3-NH3,C9 H14 N3 O3
229.1295,a3,C9 H17 N4 O3
240.0979,b3-NH3,C10 H14 N3 O4
257.1244,b3,C10 H17 N4 O4
335.2078,y3,C17 H27 N4 O3
375.1663,a4-NH3,C18 H23 N4 O5
392.1928,a4,C18 H26 N5 O5
403.1612,b4-NH3,C19 H23 N4 O6
404.2292,y4-H2O,C20 H30 N5 O4
420.1878,b4,C19 H26 N5 O6
422.2398,y4,C20 H32 N5 O5
462.1983,a5-NH3,C21 H28 N5 O7
479.2249,a5,C21 H31 N6 O7
489.2092,b5-H2O,C22 H29 N6 O7
490.1932,b5-NH3,C22 H28 N5 O8
507.2198,b5,C22 H31 N6 O8
567.2926,y5-H2O,C29 H39 N6 O6
585.3031,y5,C29 H41 N6 O7
609.2667,a6-NH3,C30 H37 N6 O8
626.2933,a6,C30 H40 N7 O8
636.2776,b6-H2O,C31 H38 N7 O8
637.2617,b6-NH3,C31 H37 N6 O9
654.2882,b6,C31 H40 N7 O9
666.2882,a7-NH3,C32 H40 N7 O9
683.3148,a7,C32 H43 N8 O9
693.2991,b7-H2O,C33 H41 N8 O9
694.2831,b7-NH3,C33 H40 N7 O10
695.3511,y6-H2O,C34 H47 N8 O8
696.3352,y6-NH3,C34 H46 N7 O9
711.3097,b7,C33 H43 N8 O10
713.3617,y6,C34 H49 N8 O9
752.3726,y7-H2O,C36 H50 N9 O9
753.3566,y7-NH3,C36 H49 N8 O10
770.3832,y7,C36 H52 N9 O10
823.4097,MH-H2O,C39 H55 N10 O10
824.3937,MH-NH3,C39 H54 N9 O11
841.4203,MH,C39 H57 N10 O11
